"Factor","Statistic","P_value","P_adjusted"
"Factor3",12.891,0.00158781506457141,0.0158781506457141
"Factor1",10.709,0.0047264555146649,0.0202191208211881
"Factor2",10.21,0.00606573624635644,0.0202191208211881
"Factor10",2.451,0.293583342856121,0.727792467259658
"Factor8",1.909,0.384949461191681,0.727792467259658
"Factor4",1.377,0.50235137921852,0.727792467259658
"Factor9",1.266,0.531121705570533,0.727792467259658
"Factor6",1.082,0.582233973807727,0.727792467259658
"Factor7",0.574,0.75038951478933,0.80543661073706
"Factor5",0.433,0.80543661073706,0.80543661073706
